month,day,year,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,age_since_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
-0.5137362,0.60042286,-0.68221503,-0.3885199,-1.4656134,-1.1591097,-0.1711388,-0.9223325,0.0,-0.30448747,-0.6341841,-0.5630152,-0.92420554,-0.66257584,-0.5093846,0.5878029464440413,0.5121803,-0.30899656,-0.9327942,-1.0185037,-0.18564387,2.18
-0.19337685,-0.79371417,-0.68221503,-0.3885199,0.16915797,0.14500332,-0.16813257,0.9177323,0.0,-0.30448747,0.8889242,0.2903614,0.5070905,-0.66257584,-0.06839525,0.1378566293167647,-1.0407318,-1.8166653,-1.1796201,0.004058221,-0.16250761,2.5025
-1.4748142,0.25188863,1.465635,0.6499563,0.49611223,0.2984284,-0.2197873,0.9177323,0.0,-0.30448747,-0.6341841,0.2903614,0.6754783,-0.66257584,1.0849614,-1.004314791083245,-0.6852458,-1.5216203,0.42843422,1.4940768,-0.23831289,2.7
-0.5137362,0.71660095,-0.68221503,-0.3885199,-0.8117048,-0.45773798,-0.24448137,0.9177323,0.0,-0.30448747,-0.6341841,0.2903614,-0.15443288,-0.66257584,-2.171575,2.2837544494622377,0.7554075,0.54003537,-1.0174371,-0.43418255,-0.29860327,9.263
0.76770115,-1.2584264,-0.68221503,-0.3885199,0.49611223,0.36418197,-0.12241872,0.9177323,0.0,-0.30448747,0.8889242,1.9971148,0.7476444,-0.66257584,0.61004984,-0.5543684739559684,-0.498148,0.94328016,0.78110415,0.47151506,-0.15529454,7.0
0.1269825,1.4136695,-0.68221503,0.6499563,0.49611223,0.17788012,-0.2629721,-0.9223325,0.0,2.3547916,-0.6341841,-0.5630152,-0.64756846,1.6048949,-1.5270523,-1.1081485565741551,0.6805684,0.8761919,-0.6859145,-0.8870314,-0.3156152,6.3
1.4084198,-1.4907826,-0.68221503,-1.4269961,-1.4656134,-1.3892473,-0.24357472,-0.9223325,0.0,-0.30448747,-0.6341841,-2.2697685,-1.1767871,-0.66257584,-1.1199852,1.2108055393895012,-0.44201866,-0.50090516,0.075764306,-1.6028247,-0.2700912,2.3895
-1.4748142,-0.79371417,1.465635,-0.3885199,0.16915797,-0.6002041,-0.17037532,-0.9223325,0.0,-0.30448747,-0.6341841,-0.5630152,-0.76784545,0.20776641,0.30474955,-0.20825592231960188,-0.3858893,-0.85508585,0.5483226,-0.7701672,-0.1667606,3.15
0.44734183,1.2974914,-0.68221503,-0.3885199,-0.15779631,-0.39198437,2.6965222,-0.9223325,0.0,-0.30448747,-0.6341841,-0.5630152,-0.082266696,-0.66257584,0.7796611,-0.7274247497741517,-0.9658926,-0.80530626,1.6415241,0.5445552,3.3446093,4.27
-0.5137362,-1.1422484,1.465635,0.6499563,0.49611223,0.45185342,-0.17543343,0.9177323,0.0,-0.30448747,-0.6341841,0.2903614,0.84386605,-0.66257584,0.54220533,-0.4505347084650585,-0.92847306,0.04807347,1.3946981,0.22317861,-0.15822059,7.0
-0.19337685,1.0651352,-0.68221503,0.6499563,2.4578378,1.6354182,-0.16216782,0.9177323,0.0,-0.30448747,-0.6341841,1.9971148,1.2888908,0.96358997,1.4920285,-1.4542611082105217,-0.7226654,0.13029644,-0.08641866,0.35465086,-0.09445979,5.97326
1.0880605,-0.32900178,-0.68221503,0.6499563,0.16915797,-0.0960932,0.14947847,-0.9223325,0.0,-0.30448747,0.8889242,0.2903614,0.24248114,-0.66257584,-0.102317505,0.17246788448040137,-0.3858893,-0.87528384,0.4919299,0.6029873,0.21890044,3.65
-1.4748142,-1.3746046,1.465635,2.7269087,0.8230665,0.846375,0.0046066046,-0.9223325,0.0,-0.30448747,-0.6341841,-0.5630152,0.07409338,1.6277987,-0.30585104,0.41474667062585796,0.5121803,-0.22748905,-0.9257451,0.15013848,-0.17543669,3.6
-0.5137362,-1.6069608,-0.68221503,-0.3885199,0.16915797,-0.118011065,0.47844636,0.9177323,0.0,-0.30448747,0.8889242,1.143738,0.21842575,-0.66257584,0.2029828,-0.13903341199232858,-0.9658926,-0.69853747,1.5710331,0.51533914,0.7595404,4.375
0.44734183,-1.7231388,-0.68221503,-0.3885199,-1.4656134,-1.3344526,-0.19127579,-0.9223325,0.0,-0.30448747,-0.6341841,-0.5630152,-1.1166487,-0.66257584,0.06729377,-0.0005883913377819275,-0.8349241,1.1163942,0.019371556,-0.9162474,-0.17951956,3.5
1.7287792,-0.09664563,-0.68221503,0.6499563,0.49611223,-0.35910758,-0.08701196,0.9177323,0.0,-0.30448747,0.8889242,-0.5630152,-0.0461836,-0.66257584,0.13513829,-0.06981090166505524,-1.0407318,-1.7704905,-1.2149193,-0.14202204,-0.12766713,2.42
-1.4748142,0.36806673,1.465635,2.7269087,1.1500207,0.87925184,-0.19676337,0.9177323,0.0,-0.30448747,-0.6341841,-0.5630152,1.3129462,-0.66257584,0.30474955,-0.20825592231960188,1.2231522,0.19449529,-0.60132533,-0.5072227,-0.29860327,7.51
